ENTITY_ID,settled_amount,concentration_percentage
le_3txji202bhmy,-45881155.0,11.447390491554124
le_37abtnwacsew4,-41611707.14137936,10.382159312849925
le_3rb0198ns9nwt,-31753351.385421693,7.922490458761408
le_3drtuhu24p3e,-28414700.750031948,7.089494045785718
le_ave8ahvo9v42,-27746780.799995422,6.922847402187328
le_110wg7k6hh4ym,-13447517.989266621,3.3551681418075407
le_3h97eul427pbv,-12529316.730445147,3.1260760808172283
le_29xx6lyftb4dz,-10458477.49925363,2.6093997825706166
le_bvv5gr9sausn,-9749290.206453085,2.432456898889158
le_6ldgasxk1red,-8313764.842370033,2.0742919964757576
